SourceEventID,VIINADate,ComponentID,ManualDecision,CanonicalEventDate,CountryScope,TargetOrEvent,TargetID,NodeID,Sector,PhysicalAttackStatus,ActorClaim,AttributionStatus,DedupeStatus,ScoringEligibility,DecisionReason,CandidateCensusComplete
127776,20240915,PARENT,SPLIT_REQUIRED,,MIXED,Weekly roundup of Moscow drone attack Orenburg pipeline fire Belgorod rail sabotage Yekaterinburg blast Omsk fire and Mariupol strikes,,,,,COMPOSITE,COMPOSITE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_YET_ASSESSED,Roundup contains multiple unrelated events with different scope and causation,FALSE
127776,20240915,RU1,INCLUDE_RUSSIA_PROPER,2024-09-10,RUSSIA_PROPER,Volokonovka-Novy Oskol freight railway section Belgorod Oblast,TGT_RU_NOVY_OSKOL_VOLOKONOVKA_RAIL_SECTION,NODE_RU_NOVY_OSKOL_VOLOKONOVKA_RAIL_CORRIDOR,RAIL_LOGISTICS,CONFIRMED_PHYSICAL_DISRUPTION,SABOTAGE_OR_EXTERNAL_INTERFERENCE_REPORTED,ATTRIBUTION_UNKNOWN,PENDING_CROSS_ROW,CENSUS_CANDIDATE_ONLY,Locomotive and 11 freight wagons derailed after external interference/explosion; line and contact network required repair and passenger traffic was rerouted; actor not established,FALSE
127776,20240915,X1,EXCLUDE_CAUSE_NOT_ESTABLISHED,2024-09-10,RUSSIA_PROPER,Oil pipeline fire Kurmanayevsky district Orenburg Oblast,,,,FIRE_CONFIRMED,UNKNOWN,UNKNOWN,NOT_APPLICABLE,NOT_SCORING_EVENT,Two deaths and pipeline fire reported but prosecutor was still determining cause; no attack link established,FALSE
127776,20240915,X2,EXCLUDE_NO_IDENTIFIED_TARGET_EFFECT,2024-09-10,RUSSIA_PROPER,Moscow-region mass drone attack and airport shutdowns,,,,ATTACK_REPORTED,UKRAINIAN_DRONES_ALLEGED,ATTRIBUTION_REPORTED_BY_RUSSIA,NOT_APPLICABLE,NOT_SCORING_EVENT,Mass drone attack and airport closures are real operational effects but source does not identify a qualifying physical target hit for this census row,FALSE
127776,20240915,X3,EXCLUDE_NON_DEEP_TARGET,2024-09-11,RUSSIA_PROPER,Rosgvardia military-unit checkpoint Yekaterinburg,,,,CONFIRMED_SABOTAGE,ANTI_REGIME_UNDERGROUND_WITH_HUR_COOPERATION_REPORTED,UKRAINIAN_HUR_COOPERATION_REPORTED,NOT_APPLICABLE,OUTSIDE_DEEP_TARGET_CENSUS,Physical sabotage is real but target is personnel/checkpoint rather than the frozen DEEP arms-fuel-energy-logistics-industrial target census,FALSE
127776,20240915,X4,EXCLUDE_CAUSE_NOT_ESTABLISHED,2024-09-12,RUSSIA_PROPER,Omsktransmash military factory Omsk,,,,FIRE_CONFIRMED,UNKNOWN,UNKNOWN,NOT_APPLICABLE,NOT_SCORING_EVENT,Factory fire reported but source gives no attack cause,FALSE
127776,20240915,X5,EXCLUDE_OUTSIDE_RUSSIA_PROPER,2024-09-11,UKRAINE_OCCUPIED_OTHER,Mariupol district Russian military bases and ammunition depots,,,,CONFIRMED_PHYSICAL_HIT,DRONE_ATTACK_REPORTED,ATTRIBUTION_UNRESOLVED,NOT_APPLICABLE,NOT_ELIGIBLE_RUSSIA_PROPER,Targets are in occupied Donetsk Oblast Ukraine,FALSE
349617,20241010,PARENT,SPLIT_REQUIRED,,MIXED,Feodosia oil terminal plus Shahed storage base in Krasnodar Krai,,,,,COMPOSITE,COMPOSITE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_YET_ASSESSED,Article combines a Crimea event and a separate Russia-proper weapons-storage strike,FALSE
349617,20241010,RU1,INCLUDE_RUSSIA_PROPER,2024-10-09,RUSSIA_PROPER,Shahed UAV storage base near Oktyabrsky Krasnodar Krai,TGT_RU_OKTYABRSKY_SHAHED_STORAGE_20241009,NODE_RU_OKTYABRSKY_SHAHED_STORAGE,MILITARY_LOGISTICS,CONFIRMED_PHYSICAL_HIT,UKRAINIAN_DEFENCE_FORCES_REPORTED,UKRAINIAN_ATTRIBUTION_REPORTED,PENDING_CROSS_ROW,CENSUS_CANDIDATE_ONLY,Ukrainian reporting states a storage base containing roughly 400 Shahed attack drones was struck on the eastern Azov coast in Krasnodar Krai,FALSE
349617,20241010,CR1,EXCLUDE_CRIMEA_SCOPE,2024-10-07,CRIMEA_SEVASTOPOL,Feodosia marine oil terminal,,,,CONFIRMED_PHYSICAL_HIT,UKRAINIAN_DEFENCE_FORCES_REPORTED,UKRAINIAN_ATTRIBUTION_REPORTED,NOT_APPLICABLE,NOT_ELIGIBLE_RUSSIA_PROPER,Separate component is in occupied Crimea,FALSE
59763,20241027,PARENT,SPLIT_REQUIRED,,MIXED,Weekly roundup of three distilleries Voronezh industrial facility Lipetsk airfield Tambov pipeline station and Crimea,,,,,COMPOSITE,COMPOSITE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_YET_ASSESSED,Roundup contains multiple separate Russia-proper industrial and logistics events plus attempts and Crimea items,FALSE
59763,20241027,RU1,INCLUDE_RUSSIA_PROPER,2024-10-22,RUSSIA_PROPER,Biokhim plant Rasskazovo Tambov Oblast,TGT_RU_RASSKAZOVO_BIOKHIM,NODE_RU_RASSKAZOVO_BIOKHIM,INDUSTRIAL_DUAL_USE,CONFIRMED_PHYSICAL_HIT,UKRAINIAN_DRONE_ATTACK_REPORTED,UKRAINIAN_ATTRIBUTION_REPORTED_BY_RUSSIA,PENDING_CROSS_ROW,CENSUS_CANDIDATE_ONLY,Explosion and fire followed drone strike at ethanol/biochemical plant; military relevance/criticality must be assessed separately before scoring,FALSE
59763,20241027,RU2,INCLUDE_RUSSIA_PROPER,2024-10-22,RUSSIA_PROPER,Yefremov distillery Tula Oblast,TGT_RU_YEFREMOV_DISTILLERY,NODE_RU_YEFREMOV_DISTILLERY,INDUSTRIAL_DUAL_USE,CONFIRMED_PHYSICAL_DAMAGE,UKRAINIAN_DRONE_ATTACK_REPORTED,UKRAINIAN_ATTRIBUTION_REPORTED_BY_RUSSIA,PENDING_CROSS_ROW,CENSUS_CANDIDATE_ONLY,Tula governor reported damage to Yefremov alcohol-producing enterprise after Ukrainian drone attack; criticality requires later assessment,FALSE
59763,20241027,RU3,INCLUDE_RUSSIA_PROPER,2024-10-22,RUSSIA_PROPER,Luzhkovsky distillery Suvorov district Tula Oblast,TGT_RU_LUZHKOVSKY_DISTILLERY,NODE_RU_LUZHKOVSKY_DISTILLERY,INDUSTRIAL_DUAL_USE,CONFIRMED_PHYSICAL_DAMAGE,UKRAINIAN_DRONE_ATTACK_REPORTED,UKRAINIAN_ATTRIBUTION_REPORTED_BY_RUSSIA,PENDING_CROSS_ROW,CENSUS_CANDIDATE_ONLY,Tula governor reported damage to Luzhkovsky alcohol-producing enterprise after Ukrainian drone attack; criticality requires later assessment,FALSE
59763,20241027,RU4,INCLUDE_RUSSIA_PROPER_PROVISIONAL,2024-10-22,RUSSIA_PROPER,Unidentified industrial enterprise Voronezh Oblast,,,INDUSTRIAL_UNRESOLVED,CONFIRMED_PHYSICAL_DAMAGE,UKRAINIAN_DRONE_REPORTED,UKRAINIAN_ATTRIBUTION_REPORTED_BY_RUSSIA,NOT_ASSESSABLE_UNRESOLVED_TARGET,CENSUS_CANDIDATE_ONLY,Suppressed drone fell onto workshop building causing fire and wall damage; facility identity is not disclosed and must be resolved or explicitly excluded before lane closure,FALSE
59763,20241027,RU5,INCLUDE_RUSSIA_PROPER,2024-10-27,RUSSIA_PROPER,Transneft-Druzhba dispatch station Novonikolskoye Tambov Oblast,TGT_RU_NOVONIKOLSKOYE_TRANSNEFT_DRUZHBA_DISPATCH,NODE_RU_NOVONIKOLSKOYE_TRANSNEFT_DRUZHBA_DISPATCH,PIPELINE_PUMPING,CONFIRMED_FIRE_AFTER_DRONE_EVENT,UKRAINIAN_DRONE_ATTACK_REPORTED,ATTRIBUTION_REPORTED_BY_RUSSIA,PENDING_CROSS_ROW,CENSUS_CANDIDATE_ONLY,Fire was reported at Transneft-Druzhba dispatch station during mass drone attack; exact damage and operational effect require later confirmation,FALSE
59763,20241027,X1,EXCLUDE_ATTEMPT_NO_CONFIRMED_TARGET_HIT,2024-10-26,RUSSIA_PROPER,Lipetsk military airfield,,,,ATTEMPT_REPORTED,UKRAINIAN_DRONE_ATTACK_ALLEGED,ATTRIBUTION_REPORTED_BY_RUSSIA,NOT_APPLICABLE,NOT_SCORING_EVENT,Local reports suggested airfield target but source records interceptions and no confirmed target damage,FALSE
59763,20241027,CR1,EXCLUDE_CRIMEA_SCOPE,,CRIMEA_SEVASTOPOL,Crimea drone incidents,,,,ATTACK_OR_INTERCEPTION_REPORTED,UKRAINIAN_DRONES_ALLEGED,ATTRIBUTION_REPORTED_BY_RUSSIA,NOT_APPLICABLE,NOT_ELIGIBLE_RUSSIA_PROPER,Crimea components remain outside Russia-proper census,FALSE
