ResidualID,ResidualType,RecordID,SearchCell,FinalStatus,StrongestAllowedAssignment,TransformationClass,MissingEvidence,FormalReason
SRC-11,SOURCE_IDENTITY,R25S-Q4-R7-03,Q4-R7,FORMALLY_UNDECIDABLE,"One of four tanker/submarine mobile-asset reports; DEEP Non-Candidate class is proven.",Non-Candidate,"Missing exact mobile-asset identity, date, ReutersHitID/article identity, and preserved ordering among the four excluded mobile-asset components.","Individual source identity remains unrecoverable."
SRC-12,SOURCE_IDENTITY,R25S-Q4-R7-04,Q4-R7,FORMALLY_UNDECIDABLE,"One of four tanker/submarine mobile-asset reports; DEEP Non-Candidate class is proven.",Non-Candidate,"Missing exact mobile-asset identity, date, ReutersHitID/article identity, and preserved ordering among the four excluded mobile-asset components.","Individual source identity remains unrecoverable."
SRC-13,SOURCE_IDENTITY,R25S-Q4-R7-05,Q4-R7,FORMALLY_UNDECIDABLE,"One of four tanker/submarine mobile-asset reports; DEEP Non-Candidate class is proven.",Non-Candidate,"Missing exact mobile-asset identity, date, ReutersHitID/article identity, and preserved ordering among the four excluded mobile-asset components.","Individual source identity remains unrecoverable."
R25R-01,R25R_MAPPING,R25R-0015,Q1-R3,CLOSED,"Steel Horse Druzhba station Oryol 2025-03-11 is the Reuters-direct Q1-R3 component; Chertkovsky R25R-0013 is treated as VIINA-side reconciliation addition for source-inventory balance.","1:1",,"The search-log anchor explicitly names the 11-Mar Druzhba Reuters report and the three-component quota otherwise cannot balance."
R25R-02,R25R_MAPPING,R25R-0027,Q2-R5,CLOSED,"Ivanovo Severny 2025-06-01 is a post-search reconciliation expansion and DEEP Non-Candidate, with no new Reuters source component.",Non-Candidate,,"All four frozen Q2-R5 direct source slots are already exhausted by exact ReutersHitIDs; later resolution excludes the attempted target for no confirmed physical hit."
R25R-03,R25R_MAPPING,R25R-0028,Q2-R5,CLOSED,"Dyagilevo 2025-06-01 is a post-search reconciliation expansion and DEEP Non-Candidate, distinct from the exact 06-Jun Reuters source component.",Non-Candidate,,"Frozen Q2-R5 source inventory is already fully occupied and final resolution excludes the 01-Jun attempted target."
R25R-04,R25R_MAPPING,R25R-0066,Q4-R4,CLOSED,"Dzerzhinsk explosives plant 2025-10-06 is reconciliation-only screened-out material and DEEP Non-Candidate; no Reuters source ID is allocated.",Non-Candidate,,"Frozen Q4-R4 search cell has zero retained Reuters-direct components, making a direct-source mapping impossible; final resolution also excludes the event."
R25R-05,R25R_MAPPING,R25R-0094,Q4-R1,FORMALLY_UNDECIDABLE,"Orenburg gas processing plant 2025-12-25 is a Reuters-direct 1:1 event in Q4-R1 and a confirmed distinct repeat.","1:1","Missing frozen row-level ReutersHitID and exact stable R25S-Q4-R1-xx ordinal; Q4-R1 requires a complete historical rebalance including YANOS correction and VIINA-side additions to prove the exact slot.","Event/source-lane membership is supported, but DEEP-COMP-V1 requires stable row-level source provenance for a closed bridge."
R25R-06,R25R_MAPPING,R25R-0100,Q3-R2,CLOSED,"Follow-up to Saratov refinery/oil-infrastructure reporting on 2025-09-20, canonical reconciliation anchor R25R-0055; no new source component.",Follow-up,,"Q3-R2 has exactly three direct components (Sochi, Ust-Luga, Primorsk), so this follow-up cannot be a fourth discovery component."
R25R-07,R25R_MAPPING,R25R-0101,Q3-R2,CLOSED,"Follow-up to Samara/Novokuibyshevsk 2025-09-20, canonical reconciliation anchor R25R-0056; no new source component.",Follow-up,,"Q3-R2 direct inventory is already fully occupied and later resolution merges the associated Samara refinery representations into one event."
