SourceComponentID,Quarter,SearchFamily,CellOrdinal,RecoveredCanonicalDate,RecoveredTargetOrEvent,RecoveredFrom,RecoveryStatus,Anchor,FinalDisposition,Notes
R25S-Q1-R4-01,Q1,R4_DEFENSE_INDUSTRY,1,2025-01-29,23rd missile arsenal Tver region,RECONCILIATION_INFERENCE,ANCHORED_ONLY,Reuters 2025-01-29 Tver-region strike coverage,BRIDGED,Identity inferred from cell quota plus R25R reconciliation; no frozen row-level ReutersHitID proves this exact source component.
R25S-Q1-R5-01,Q1,R5_STRATEGIC_AIR,1,2025-03-20,Engels strategic bomber airfield,RECONCILIATION_INFERENCE,ANCHORED_ONLY,Reuters 2025-03-20 Engels coverage,BRIDGED,Identity inferred from cell quota plus R25R reconciliation; no frozen row-level ReutersHitID proves this exact source component.
R25S-Q2-R4-01,Q2,R4_DEFENSE_INDUSTRY,1,2025-04-30,Murom Instrument-Building Plant,RECONCILIATION_INFERENCE,ANCHORED_ONLY,Reuters 2025-04-30 Murom; Apr/May defence-industry strike coverage,BRIDGED,Identity inferred from cell quota plus R25R reconciliation; no frozen row-level ReutersHitID proves this exact source component.
R25S-Q2-R4-02,Q2,R4_DEFENSE_INDUSTRY,2,2025-04-23,Alabuga drone-production site,RECONCILIATION_INFERENCE,ANCHORED_ONLY,Reuters 2025-04-30 Murom; Apr/May defence-industry strike coverage,BRIDGED,Identity inferred from cell quota plus R25R reconciliation; no frozen row-level ReutersHitID proves this exact source component.
R25S-Q2-R4-03,Q2,R4_DEFENSE_INDUSTRY,3,2025-04-23,Kazan aviation-related defence plant,RECONCILIATION_INFERENCE,ANCHORED_ONLY,Reuters 2025-04-30 Murom; Apr/May defence-industry strike coverage,BRIDGED,Identity inferred from cell quota plus R25R reconciliation; no frozen row-level ReutersHitID proves this exact source component.
R25S-Q2-R4-04,Q2,R4_DEFENSE_INDUSTRY,4,2025-05-28,Kronstadt drone plant Dubna,RECONCILIATION_INFERENCE,ANCHORED_ONLY,Reuters 2025-04-30 Murom; Apr/May defence-industry strike coverage,BRIDGED,Identity inferred from cell quota plus R25R reconciliation; no frozen row-level ReutersHitID proves this exact source component.
R25S-Q2-R4-05,Q2,R4_DEFENSE_INDUSTRY,5,2025-05-28,Raduga missile plant Dubna,RECONCILIATION_INFERENCE,ANCHORED_ONLY,Reuters 2025-04-30 Murom; Apr/May defence-industry strike coverage,BRIDGED,Identity inferred from cell quota plus R25R reconciliation; no frozen row-level ReutersHitID proves this exact source component.
R25S-Q2-R4-06,Q2,R4_DEFENSE_INDUSTRY,6,,,SEARCH_LOG_COUNT_ONLY,UNRECOVERED_IDENTITY,Reuters 2025-04-30 Murom; Apr/May defence-industry strike coverage,UNRESOLVED_SOURCE_IDENTITY,"Frozen search log says this retained named Reuters-direct component existed, but no row-level identity can be recovered from frozen raw hits/reconciliation."
R25S-Q2-R4-07,Q2,R4_DEFENSE_INDUSTRY,7,,,SEARCH_LOG_COUNT_ONLY,UNRECOVERED_IDENTITY,Reuters 2025-04-30 Murom; Apr/May defence-industry strike coverage,UNRESOLVED_SOURCE_IDENTITY,"Frozen search log says this retained named Reuters-direct component existed, but no row-level identity can be recovered from frozen raw hits/reconciliation."
R25S-Q2-R5-01,Q2,R5_STRATEGIC_AIR,1,2025-06-01,Belaya military air base,R25-0012,EXACT,Reuters June 1 Spiderweb satellite/video verification; June 6 airfield claims,BRIDGED,Satellite imagery and Reuters-verified footage show multiple strategic bombers destroyed or badly damaged
R25S-Q2-R5-02,Q2,R5_STRATEGIC_AIR,2,2025-06-01,Olenya military air base,R25-0013,EXACT,Reuters June 1 Spiderweb satellite/video verification; June 6 airfield claims,BRIDGED,Reuters-verified drone footage showed burning Tu-95 bombers and explosion
R25S-Q2-R5-03,Q2,R5_STRATEGIC_AIR,3,2025-06-06,Engels airfield plus fuel reservoirs,R25-0014,EXACT,Reuters June 1 Spiderweb satellite/video verification; June 6 airfield claims,BRIDGED,Ukrainian military reported pre-emptive strike and fuel-reservoir hits
R25S-Q2-R5-04,Q2,R5_STRATEGIC_AIR,4,2025-06-06,Dyagilevo airfield,R25-0015,EXACT,Reuters June 1 Spiderweb satellite/video verification; June 6 airfield claims,BRIDGED,Ukrainian military reported strike
R25S-Q2-R6-01,Q2,R6_GRID_SUPPORT,1,2025-05-05,Rylsk electricity substation,RECONCILIATION_INFERENCE,ANCHORED_ONLY,Reuters 2025-05-05 Kursk-region/Rylsk reporting,BRIDGED,Identity inferred from cell quota plus R25R reconciliation; no frozen row-level ReutersHitID proves this exact source component.
R25S-Q3-R1-01,Q3,R1_ENERGY_REFINING,1,2025-08-21,Industrial site in refinery city,R25-0017,EXACT,Reuters 2025-08-22 chronology; 2025-08-25 overview; Sep refinery reports,BRIDGED,Fire after drone strike
R25S-Q3-R1-02,Q3,R1_ENERGY_REFINING,2,2025-08-15,Syzran oil refinery,R25-0018,EXACT,Reuters 2025-08-22 chronology; 2025-08-25 overview; Sep refinery reports,BRIDGED,Production and crude intake suspended after Ukrainian drone attack
R25S-Q3-R1-03,Q3,R1_ENERGY_REFINING,3,2025-08-14,Volgograd oil refinery,R25-0019,EXACT,Reuters 2025-08-22 chronology; 2025-08-25 overview; Sep refinery reports,BRIDGED,Refinery shut down after drone attacks
R25S-Q3-R1-04,Q3,R1_ENERGY_REFINING,4,2025-08-13,Slavyansk oil refinery,R25-0020,EXACT,Reuters 2025-08-22 chronology; 2025-08-25 overview; Sep refinery reports,BRIDGED,Small fire from drone debris
R25S-Q3-R1-05,Q3,R1_ENERGY_REFINING,5,2025-08-07,Afipsky oil refinery,R25-0021,EXACT,Reuters 2025-08-22 chronology; 2025-08-25 overview; Sep refinery reports,BRIDGED,Fire from drone debris
R25S-Q3-R1-06,Q3,R1_ENERGY_REFINING,6,2025-07-07,Ilsky oil refinery,R25-0022,EXACT,Reuters 2025-08-22 chronology; 2025-08-25 overview; Sep refinery reports,BRIDGED,Drone debris fell on refinery
R25S-Q3-R1-07,Q3,R1_ENERGY_REFINING,7,2025-08-10,Saratov oil refinery,R25-0023,EXACT,Reuters 2025-08-22 chronology; 2025-08-25 overview; Sep refinery reports,BRIDGED,Explosion and fire reported after Ukrainian strike
R25S-Q3-R1-08,Q3,R1_ENERGY_REFINING,8,2025-08-02,Novokuibyshevsk refinery,R25-0025,EXACT,Reuters 2025-08-22 chronology; 2025-08-25 overview; Sep refinery reports,BRIDGED,Primary processing halted after Ukrainian drone attack
R25S-Q3-R1-09,Q3,R1_ENERGY_REFINING,9,2025-08-02,Ryazan oil refinery,R25-0026,EXACT,Reuters 2025-08-22 chronology; 2025-08-25 overview; Sep refinery reports,BRIDGED,About half refining capacity halted after Ukrainian drone attack
R25S-Q3-R1-10,Q3,R1_ENERGY_REFINING,10,2025-08-28,Kuibyshev/Samara refinery complex,RECONCILIATION_INFERENCE,ANCHORED_ONLY,Reuters 2025-08-22 chronology; 2025-08-25 overview; Sep refinery reports,BRIDGED,Identity inferred from cell quota plus R25R reconciliation; no frozen row-level ReutersHitID proves this exact source component.
R25S-Q3-R1-11,Q3,R1_ENERGY_REFINING,11,2025-09-14,Kirishi oil refinery,RECONCILIATION_INFERENCE,ANCHORED_ONLY,Reuters 2025-08-22 chronology; 2025-08-25 overview; Sep refinery reports,BRIDGED,Identity inferred from cell quota plus R25R reconciliation; no frozen row-level ReutersHitID proves this exact source component.
R25S-Q3-R1-12,Q3,R1_ENERGY_REFINING,12,2025-09-16,Novokuibyshevsk oil refinery,RECONCILIATION_INFERENCE,ANCHORED_ONLY,Reuters 2025-08-22 chronology; 2025-08-25 overview; Sep refinery reports,BRIDGED,Identity inferred from cell quota plus R25R reconciliation; no frozen row-level ReutersHitID proves this exact source component.
R25S-Q3-R1-13,Q3,R1_ENERGY_REFINING,13,2025-09-18,Salavat petrochemical/refinery complex,RECONCILIATION_INFERENCE,ANCHORED_ONLY,Reuters 2025-08-22 chronology; 2025-08-25 overview; Sep refinery reports,BRIDGED,Identity inferred from cell quota plus R25R reconciliation; no frozen row-level ReutersHitID proves this exact source component.
R25S-Q3-R1-14,Q3,R1_ENERGY_REFINING,14,2025-09-20,Samara refinery target,RECONCILIATION_INFERENCE,ANCHORED_ONLY,Reuters 2025-08-22 chronology; 2025-08-25 overview; Sep refinery reports,BRIDGED,Identity inferred from cell quota plus R25R reconciliation; no frozen row-level ReutersHitID proves this exact source component.
R25S-Q3-R1-15,Q3,R1_ENERGY_REFINING,15,2025-09-24,Salavat petrochemical/refinery complex,RECONCILIATION_INFERENCE,ANCHORED_ONLY,Reuters 2025-08-22 chronology; 2025-08-25 overview; Sep refinery reports,BRIDGED,Identity inferred from cell quota plus R25R reconciliation; no frozen row-level ReutersHitID proves this exact source component.
R25S-Q3-R1-16,Q3,R1_ENERGY_REFINING,16,2025-09-13,Ufa/Bashneft refinery complex,RECONCILIATION_INFERENCE,ANCHORED_ONLY,Reuters 2025-08-22 chronology; 2025-08-25 overview; Sep refinery reports,BRIDGED,Identity inferred from cell quota plus R25R reconciliation; no frozen row-level ReutersHitID proves this exact source component.
R25S-Q3-R1-17,Q3,R1_ENERGY_REFINING,17,2025-09-20,Samara-region refinery,RECONCILIATION_INFERENCE,ANCHORED_ONLY,Reuters 2025-08-22 chronology; 2025-08-25 overview; Sep refinery reports,BRIDGED,Identity inferred from cell quota plus R25R reconciliation; no frozen row-level ReutersHitID proves this exact source component.
R25S-Q3-R1-18,Q3,R1_ENERGY_REFINING,18,2025-08-28,Krasnodar-region refinery target,RECONCILIATION_INFERENCE,ANCHORED_ONLY,Reuters 2025-08-22 chronology; 2025-08-25 overview; Sep refinery reports,BRIDGED,Identity inferred from cell quota plus R25R reconciliation; no frozen row-level ReutersHitID proves this exact source component.
R25S-Q3-R1-19,Q3,R1_ENERGY_REFINING,19,,,SEARCH_LOG_COUNT_ONLY,UNRECOVERED_IDENTITY,Reuters 2025-08-22 chronology; 2025-08-25 overview; Sep refinery reports,UNRESOLVED_SOURCE_IDENTITY,"Frozen search log says this retained named Reuters-direct component existed, but no row-level identity can be recovered from frozen raw hits/reconciliation."
R25S-Q3-R1-20,Q3,R1_ENERGY_REFINING,20,,,SEARCH_LOG_COUNT_ONLY,UNRECOVERED_IDENTITY,Reuters 2025-08-22 chronology; 2025-08-25 overview; Sep refinery reports,UNRESOLVED_SOURCE_IDENTITY,"Frozen search log says this retained named Reuters-direct component existed, but no row-level identity can be recovered from frozen raw hits/reconciliation."
R25S-Q3-R1-21,Q3,R1_ENERGY_REFINING,21,,,SEARCH_LOG_COUNT_ONLY,UNRECOVERED_IDENTITY,Reuters 2025-08-22 chronology; 2025-08-25 overview; Sep refinery reports,UNRESOLVED_SOURCE_IDENTITY,"Frozen search log says this retained named Reuters-direct component existed, but no row-level identity can be recovered from frozen raw hits/reconciliation."
R25S-Q3-R1-22,Q3,R1_ENERGY_REFINING,22,,,SEARCH_LOG_COUNT_ONLY,UNRECOVERED_IDENTITY,Reuters 2025-08-22 chronology; 2025-08-25 overview; Sep refinery reports,UNRESOLVED_SOURCE_IDENTITY,"Frozen search log says this retained named Reuters-direct component existed, but no row-level identity can be recovered from frozen raw hits/reconciliation."
R25S-Q3-R2-01,Q3,R2_ENERGY_STORAGE_EXPORT,1,2025-08-03,Sochi oil depot,R25-0024,EXACT,Reuters Sochi/Ust-Luga/Primorsk coverage,BRIDGED,Two oil tanks burned after Ukrainian drone attack
R25S-Q3-R2-02,Q3,R2_ENERGY_STORAGE_EXPORT,2,2025-08-24,Ust-Luga processing/export terminal,RECONCILIATION_INFERENCE,ANCHORED_ONLY,Reuters Sochi/Ust-Luga/Primorsk coverage,BRIDGED,Identity inferred from cell quota plus R25R reconciliation; no frozen row-level ReutersHitID proves this exact source component.
R25S-Q3-R2-03,Q3,R2_ENERGY_STORAGE_EXPORT,3,2025-09-12,Primorsk Baltic oil port,RECONCILIATION_INFERENCE,ANCHORED_ONLY,Reuters Sochi/Ust-Luga/Primorsk coverage,BRIDGED,Identity inferred from cell quota plus R25R reconciliation; no frozen row-level ReutersHitID proves this exact source component.
R25S-Q3-R3-01,Q3,R3_PIPELINE_PUMPING,1,2025-08-21,Unecha Druzhba pumping station,R25-0016,EXACT,Reuters Druzhba coverage; Reuters/OSC graphic inspected separately,BRIDGED,Fire after combined missile/drone attack; Hungary reported deliveries halted
R25S-Q3-R3-02,Q3,R3_PIPELINE_PUMPING,2,2025-08-18,Nikolskoye Druzhba pumping station,RECONCILIATION_INFERENCE,ANCHORED_ONLY,Reuters Druzhba coverage; Reuters/OSC graphic inspected separately,BRIDGED,Identity inferred from cell quota plus R25R reconciliation; no frozen row-level ReutersHitID proves this exact source component.
R25S-Q3-R3-03,Q3,R3_PIPELINE_PUMPING,3,2025-09-07,Naytopovichi LPDS 8-N,RECONCILIATION_INFERENCE,ANCHORED_ONLY,Reuters Druzhba coverage; Reuters/OSC graphic inspected separately,BRIDGED,Identity inferred from cell quota plus R25R reconciliation; no frozen row-level ReutersHitID proves this exact source component.
R25S-Q3-R3-04,Q3,R3_PIPELINE_PUMPING,4,,,SEARCH_LOG_COUNT_ONLY,UNRECOVERED_IDENTITY,Reuters Druzhba coverage; Reuters/OSC graphic inspected separately,UNRESOLVED_SOURCE_IDENTITY,"Frozen search log says this retained named Reuters-direct component existed, but no row-level identity can be recovered from frozen raw hits/reconciliation."
R25S-Q3-R6-01,Q3,R6_GRID_SUPPORT,1,2025-09-28,Luch electricity substation Belgorod,RECONCILIATION_INFERENCE,ANCHORED_ONLY,Reuters Sergiyev Posad/Kursk NPP/Belgorod reporting,BRIDGED,Identity inferred from cell quota plus R25R reconciliation; no frozen row-level ReutersHitID proves this exact source component.
R25S-Q3-R6-02,Q3,R6_GRID_SUPPORT,2,,,SEARCH_LOG_COUNT_ONLY,UNRECOVERED_IDENTITY,Reuters Sergiyev Posad/Kursk NPP/Belgorod reporting,UNRESOLVED_SOURCE_IDENTITY,"Frozen search log says this retained named Reuters-direct component existed, but no row-level identity can be recovered from frozen raw hits/reconciliation."
R25S-Q3-R6-03,Q3,R6_GRID_SUPPORT,3,,,SEARCH_LOG_COUNT_ONLY,UNRECOVERED_IDENTITY,Reuters Sergiyev Posad/Kursk NPP/Belgorod reporting,UNRESOLVED_SOURCE_IDENTITY,"Frozen search log says this retained named Reuters-direct component existed, but no row-level identity can be recovered from frozen raw hits/reconciliation."
R25S-Q4-R1-01,Q4,R1_ENERGY_REFINING,1,2025-11-14,Saratov oil refinery,R25-0028,EXACT,Reuters Oct-Dec refinery/processing-plant reporting,BRIDGED,Ukrainian General Staff reported strike
R25S-Q4-R1-02,Q4,R1_ENERGY_REFINING,2,2025-10-13,Kirishi oil refinery,RECONCILIATION_INFERENCE,ANCHORED_ONLY,Reuters Oct-Dec refinery/processing-plant reporting,BRIDGED,Identity inferred from cell quota plus R25R reconciliation; no frozen row-level ReutersHitID proves this exact source component.
R25S-Q4-R1-03,Q4,R1_ENERGY_REFINING,3,2025-10-19,Orenburg gas processing plant,RECONCILIATION_INFERENCE,ANCHORED_ONLY,Reuters Oct-Dec refinery/processing-plant reporting,BRIDGED,Identity inferred from cell quota plus R25R reconciliation; no frozen row-level ReutersHitID proves this exact source component.
R25S-Q4-R1-04,Q4,R1_ENERGY_REFINING,4,2025-10-30,Novospassky oil refinery,RECONCILIATION_INFERENCE,ANCHORED_ONLY,Reuters Oct-Dec refinery/processing-plant reporting,BRIDGED,Identity inferred from cell quota plus R25R reconciliation; no frozen row-level ReutersHitID proves this exact source component.
R25S-Q4-R1-05,Q4,R1_ENERGY_REFINING,5,2025-10-30,Mari oil refinery,RECONCILIATION_INFERENCE,ANCHORED_ONLY,Reuters Oct-Dec refinery/processing-plant reporting,BRIDGED,Identity inferred from cell quota plus R25R reconciliation; no frozen row-level ReutersHitID proves this exact source component.
R25S-Q4-R1-06,Q4,R1_ENERGY_REFINING,6,2025-10-30,Budyonnovsk gas processing plant,RECONCILIATION_INFERENCE,ANCHORED_ONLY,Reuters Oct-Dec refinery/processing-plant reporting,BRIDGED,Identity inferred from cell quota plus R25R reconciliation; no frozen row-level ReutersHitID proves this exact source component.
R25S-Q4-R1-07,Q4,R1_ENERGY_REFINING,7,2025-11-06,Volgograd oil refinery,RECONCILIATION_INFERENCE,ANCHORED_ONLY,Reuters Oct-Dec refinery/processing-plant reporting,BRIDGED,Identity inferred from cell quota plus R25R reconciliation; no frozen row-level ReutersHitID proves this exact source component.
R25S-Q4-R1-08,Q4,R1_ENERGY_REFINING,8,2025-11-15,Ryazan oil refinery,RECONCILIATION_INFERENCE,ANCHORED_ONLY,Reuters Oct-Dec refinery/processing-plant reporting,BRIDGED,Identity inferred from cell quota plus R25R reconciliation; no frozen row-level ReutersHitID proves this exact source component.
R25S-Q4-R1-09,Q4,R1_ENERGY_REFINING,9,2025-11-15,Novokuibyshevsk oil refinery,RECONCILIATION_INFERENCE,ANCHORED_ONLY,Reuters Oct-Dec refinery/processing-plant reporting,BRIDGED,Identity inferred from cell quota plus R25R reconciliation; no frozen row-level ReutersHitID proves this exact source component.
R25S-Q4-R1-10,Q4,R1_ENERGY_REFINING,10,2025-11-25,Tuapse oil refinery,RECONCILIATION_INFERENCE,ANCHORED_ONLY,Reuters Oct-Dec refinery/processing-plant reporting,BRIDGED,Identity inferred from cell quota plus R25R reconciliation; no frozen row-level ReutersHitID proves this exact source component.
R25S-Q4-R1-11,Q4,R1_ENERGY_REFINING,11,2025-11-29,Afipsky oil refinery,RECONCILIATION_INFERENCE,ANCHORED_ONLY,Reuters Oct-Dec refinery/processing-plant reporting,BRIDGED,Identity inferred from cell quota plus R25R reconciliation; no frozen row-level ReutersHitID proves this exact source component.
R25S-Q4-R1-12,Q4,R1_ENERGY_REFINING,12,2025-12-17,Slavyansk oil refinery,RECONCILIATION_INFERENCE,ANCHORED_ONLY,Reuters Oct-Dec refinery/processing-plant reporting,BRIDGED,Identity inferred from cell quota plus R25R reconciliation; no frozen row-level ReutersHitID proves this exact source component.
R25S-Q4-R1-13,Q4,R1_ENERGY_REFINING,13,2025-12-25,Novoshakhtinsk oil refinery,RECONCILIATION_INFERENCE,ANCHORED_ONLY,Reuters Oct-Dec refinery/processing-plant reporting,BRIDGED,Identity inferred from cell quota plus R25R reconciliation; no frozen row-level ReutersHitID proves this exact source component.
R25S-Q4-R2-01,Q4,R2_ENERGY_STORAGE_EXPORT,1,2025-11-14,Sheskharis oil terminal berths 1 and 1A,R25-0027,EXACT,Reuters Tuapse/Novorossiysk/CPC/Temryuk coverage,BRIDGED,Two oil berths damaged and oil exports temporarily halted after Ukrainian missile/drone attack
R25S-Q4-R2-02,Q4,R2_ENERGY_STORAGE_EXPORT,2,2025-11-14,Engels fuel storage facility,R25-0029,EXACT,Reuters Tuapse/Novorossiysk/CPC/Temryuk coverage,BRIDGED,Ukrainian General Staff reported strike
R25S-Q4-R2-03,Q4,R2_ENERGY_STORAGE_EXPORT,3,2025-11-02,Tuapse port/oil terminal infrastructure,RECONCILIATION_INFERENCE,ANCHORED_ONLY,Reuters Tuapse/Novorossiysk/CPC/Temryuk coverage,BRIDGED,Identity inferred from cell quota plus R25R reconciliation; no frozen row-level ReutersHitID proves this exact source component.
R25S-Q4-R2-04,Q4,R2_ENERGY_STORAGE_EXPORT,4,2025-11-29,CPC Black Sea terminal SPM-2,RECONCILIATION_INFERENCE,ANCHORED_ONLY,Reuters Tuapse/Novorossiysk/CPC/Temryuk coverage,BRIDGED,Identity inferred from cell quota plus R25R reconciliation; no frozen row-level ReutersHitID proves this exact source component.
R25S-Q4-R2-05,Q4,R2_ENERGY_STORAGE_EXPORT,5,2025-12-25,Temryuk port oil-storage terminal,RECONCILIATION_INFERENCE,ANCHORED_ONLY,Reuters Tuapse/Novorossiysk/CPC/Temryuk coverage,BRIDGED,Identity inferred from cell quota plus R25R reconciliation; no frozen row-level ReutersHitID proves this exact source component.
R25S-Q4-R3-01,Q4,R3_PIPELINE_PUMPING,1,2025-12-04,Druzhba pumping infrastructure Tambov region,RECONCILIATION_INFERENCE,ANCHORED_ONLY,Reuters December Druzhba/Tambov reporting,BRIDGED,Identity inferred from cell quota plus R25R reconciliation; no frozen row-level ReutersHitID proves this exact source component.
R25S-Q4-R6-01,Q4,R6_GRID_SUPPORT,1,2025-11-23,Shatura power plant,RECONCILIATION_INFERENCE,ANCHORED_ONLY,Reuters 2025-11-23 Shatura reporting,BRIDGED,Identity inferred from cell quota plus R25R reconciliation; no frozen row-level ReutersHitID proves this exact source component.
R25S-Q4-R7-01,Q4,R7_LOGISTICS_OTHER,1,2025-10-24,Belgorod reservoir dam,RECONCILIATION_INFERENCE,ANCHORED_ONLY,Reuters Belgorod dam plus tanker/submarine reports; non-census mobile assets excluded,BRIDGED,Identity inferred from cell quota plus R25R reconciliation; no frozen row-level ReutersHitID proves this exact source component.
R25S-Q4-R7-02,Q4,R7_LOGISTICS_OTHER,2,,,SEARCH_LOG_COUNT_ONLY,UNRECOVERED_IDENTITY,Reuters Belgorod dam plus tanker/submarine reports; non-census mobile assets excluded,UNRESOLVED_SOURCE_IDENTITY,"Frozen search log says this retained named Reuters-direct component existed, but no row-level identity can be recovered from frozen raw hits/reconciliation."
R25S-Q4-R7-03,Q4,R7_LOGISTICS_OTHER,3,,,SEARCH_LOG_COUNT_ONLY,UNRECOVERED_IDENTITY,Reuters Belgorod dam plus tanker/submarine reports; non-census mobile assets excluded,UNRESOLVED_SOURCE_IDENTITY,"Frozen search log says this retained named Reuters-direct component existed, but no row-level identity can be recovered from frozen raw hits/reconciliation."
R25S-Q4-R7-04,Q4,R7_LOGISTICS_OTHER,4,,,SEARCH_LOG_COUNT_ONLY,UNRECOVERED_IDENTITY,Reuters Belgorod dam plus tanker/submarine reports; non-census mobile assets excluded,UNRESOLVED_SOURCE_IDENTITY,"Frozen search log says this retained named Reuters-direct component existed, but no row-level identity can be recovered from frozen raw hits/reconciliation."
R25S-Q4-R7-05,Q4,R7_LOGISTICS_OTHER,5,,,SEARCH_LOG_COUNT_ONLY,UNRECOVERED_IDENTITY,Reuters Belgorod dam plus tanker/submarine reports; non-census mobile assets excluded,UNRESOLVED_SOURCE_IDENTITY,"Frozen search log says this retained named Reuters-direct component existed, but no row-level identity can be recovered from frozen raw hits/reconciliation."
