SourceEventID,VIINADate,ManualDecision,RussiaProperComponents,NonRussiaOrExcludedComponents,OutcomeRelevantUnresolved,CandidateCensusComplete,DecisionReason
58994,20240519,RESOLVED_SPLIT_RUSSIA_COMPONENTS,Oskolneftesnabzhenie/Stary Oskol oil depot 2024-05-13; Yeletskaya 500-kV substation/Lipetsk 2024-05-13; Novorossiysk commercial port 2024-05-17; Kushchevsk military airfield 2024-05-19; Slavyansk-EKO refinery repeat 2024-05-19; Vyborg oil depot 2024-05-19 all CENSUS_CANDIDATE_ONLY,Belbek/Crimea and Skadovsk occupied-Ukraine components excluded; unrelated fires excluded,FALSE,FALSE,Original roundup inspected and physically affected Russia-proper infrastructure split into separate candidates
59039,20240526,RESOLVED_SPLIT_RUSSIA_COMPONENTS,Yuttek oil depot/Prokhorovka Belgorod 2024-05-20 CENSUS_CANDIDATE_ONLY,Generic Moscow fires; Crimea; Smolensk telecom sabotage outside frozen DEEP sectors; other attack reports without confirmed qualifying target effect,FALSE,FALSE,Only clearly realized qualifying Russia-proper infrastructure effect retained from roundup
59215,20240621,RESOLVED_SPLIT_RUSSIA_COMPONENTS,Afipsky refinery; Ilsky refinery; Krasnodar refinery; Astrakhan refinery; Krasnodar Shahed storage/training complex all 2024-06-21 CENSUS_CANDIDATE_ONLY,Crimea radar/interception components outside scope; interception-only regional reports excluded,FALSE,FALSE,Four refineries and Shahed support complex were explicitly reported as attacked; retained as candidates pending independent effect reconciliation
59289,20240630,RESOLVED_SPLIT_RUSSIA_COMPONENTS,Voronezh Oblast ammunition depot fire 2024-06-25/30-week CENSUS_CANDIDATE_ONLY,Nizhny Novgorod waste-disposal fire and unrelated Moscow-area fires without attack evidence; Crimea excluded,FALSE,FALSE,Qualifying ammunition-storage event separated from non-attack fires
59327,20240707,RESOLVED_SPLIT_RUSSIA_COMPONENTS,Oskol Electrometallurgical Plant/Metallurgicheskaya substation 2024-07-01; Tambov Powder Plant/Kotovsk 2024-07-04; Trans-Siberian railway sabotage near Yekaterinburg 2024-07 week; fuel tank at Leningradskaya/Krasnodar Krai 2024-07 week all CENSUS_CANDIDATE_ONLY,Kursk aviation-base fire with attack cause not established; Novorossiysk attack warning without confirmed qualifying hit; Crimea excluded,FALSE,FALSE,Full roundup inspected; confirmed strike/sabotage effects retained and cause-uncertain fires excluded
59514,20240811,RESOLVED_SPLIT_RUSSIA_COMPONENTS,Lipetsk military airfield 2024-08-09 CENSUS_CANDIDATE_ONLY,Komi gas-processing-plant fire without established attack cause; individual maritime target Tunets outside current facility/node unit and Crimea-related context,FALSE,FALSE,General Staff-confirmed airfield strike retained; unrelated/unsupported components excluded
59602,20240830,RESOLVED_EXCLUDE_NOT_NEW_EVENT,,Crimea relocation of ammunition and fuel stores due fear of future strikes,FALSE,FALSE,Adaptation/relocation report rather than realized Russia-proper attack
59607,20240901,RESOLVED_SPLIT_RUSSIA_COMPONENTS,Moscow/Kapotnya refinery 2024-09-01; Kashira power plant 2024-09-01; Konakovo power plant/Tver 2024-09-01 all CENSUS_CANDIDATE_ONLY,Mass interception reports and Crimea components excluded,FALSE,FALSE,Drone-linked fires at three Russia-proper energy facilities retained as separate candidates
59709,20240929,RESOLVED_SPLIT_RUSSIA_COMPONENTS,Kotluban military arsenal/Volgograd Oblast 2024-09-29 CENSUS_CANDIDATE_ONLY,Moscow and Novoshakhtinsk fires without sufficient attack-target linkage in this source; Crimea excluded,FALSE,FALSE,General Staff-confirmed arsenal strike with fire/detonation retained; ambiguous fires excluded
270303,20241010,RESOLVED_EXCLUDE_CRIMEA_FOLLOWUP,,Feodosia oil-terminal evacuation/fire follow-up,FALSE,FALSE,Duplicate consequence reporting for 7 October Crimea strike
59840,20241201,RESOLVED_SPLIT_RUSSIA_COMPONENTS,Khalino military airfield/Kursk Oblast late-November 2024 attack CENSUS_CANDIDATE_ONLY,Crimea radar strikes outside scope; Yekaterinburg fire without established attack cause,FALSE,FALSE,Russia-proper airfield attack retained conservatively; unrelated fire and Crimea components excluded
LOW_UNFLAGGED_73,2024,RESOLVED_DETERMINISTIC_AUDIT_NO_LEAK_SIGNAL,,73 unflagged rows: 58+ Crimea/Ukraine-only according to low-priority geography and no Russia-text/composite/year flag,FALSE,FALSE,All unflagged residual rows passed the frozen audit screen: no Russia-proper text hit no composite marker and no other-year marker; retained in audit ledger but no additional census candidate generated
