ResidualID,ResidualType,RecordID,SearchCell,FrozenSearchLogEvidence,RawHitsEvidence,ReconciliationEvidence,LaterFrozenEvidence,StrongestAllowedAssignment,TransformationClass,AssignmentStrength,Decidability,BridgeEffect,Reason
SRC-11,SOURCE_IDENTITY,R25S-Q4-R7-03,Q4-R7,"Same five-component Q4-R7 anchor; four mobile assets are excluded from census.","No row-level ReutersHitID.","No dedicated R25R mobile-asset row.","No later frozen artifact recovers the specific mobile-asset name.","One of four unnamed tanker/submarine mobile-asset components; Non-Candidate, exact identity lost.",Non-Candidate,HIGH_CLASS_LOW_IDENTITY,CLASS_DECIDABLE_IDENTITY_UNDECIDABLE,OPEN,"Individual source identity remains unrecoverable."
SRC-12,SOURCE_IDENTITY,R25S-Q4-R7-04,Q4-R7,"Same five-component Q4-R7 anchor; four mobile assets are excluded from census.","No row-level ReutersHitID.","No dedicated R25R mobile-asset row.","No later frozen artifact recovers the specific mobile-asset name.","One of four unnamed tanker/submarine mobile-asset components; Non-Candidate, exact identity lost.",Non-Candidate,HIGH_CLASS_LOW_IDENTITY,CLASS_DECIDABLE_IDENTITY_UNDECIDABLE,OPEN,"Individual source identity remains unrecoverable."
SRC-13,SOURCE_IDENTITY,R25S-Q4-R7-05,Q4-R7,"Same five-component Q4-R7 anchor; four mobile assets are excluded from census.","No row-level ReutersHitID.","No dedicated R25R mobile-asset row.","No later frozen artifact recovers the specific mobile-asset name.","One of four unnamed tanker/submarine mobile-asset components; Non-Candidate, exact identity lost.",Non-Candidate,HIGH_CLASS_LOW_IDENTITY,CLASS_DECIDABLE_IDENTITY_UNDECIDABLE,OPEN,"Individual source identity remains unrecoverable."
R25R-01,R25R_MAPPING,R25R-0015,Q1-R3,"Q1-R3 has 3 direct components; anchor explicitly includes the 2025-03-11 Druzhba report.","No Q1-R3 ReutersHitID is preserved in early raw hits.","Four Q1-R3 R25R rows exist: Andreapol, Kropotkinskaya, Chertkovsky, Steel Horse. Chertkovsky is explicitly a VIINA match; Steel Horse is the exact 11-Mar anchor named in the search log.","No later artifact contradicts the 11-Mar Reuters-direct status.","Map Steel Horse Druzhba station Oryol 2025-03-11 as the third Reuters-direct Q1-R3 component; reclassify Chertkovsky R25R-0013 as VIINA-Zusatz for source-inventory accounting.","1:1",HIGH,DECIDABLE,CLOSED,"This is the only assignment that reconciles the explicit Mar11 anchor with the three-component Q1-R3 quota without inventing a fourth Reuters component."
R25R-02,R25R_MAPPING,R25R-0027,Q2-R5,"Q2-R5 frozen count is 4.","Exactly four Q2-R5 ReutersHitIDs exist: Belaya 01-Jun, Olenya 01-Jun, Engels 06-Jun and Dyagilevo 06-Jun.","Ivanovo Severny 01-Jun was added in reconciliation beyond those four source components.","Provisional20 final decision EXCLUDE: attempted Spiderweb target with no confirmed hit.","Post-search reconciliation expansion; no additional Reuters-direct source component. Preserve row as Non-Candidate.",Non-Candidate,HIGH,DECIDABLE,CLOSED,"The raw-hit inventory already exhausts all four frozen Q2-R5 source components."
R25R-03,R25R_MAPPING,R25R-0028,Q2-R5,"Q2-R5 frozen count is 4.","Exactly four Q2-R5 ReutersHitIDs exist and none is the 01-Jun Dyagilevo attempt; R25-0015 is the separate 06-Jun Dyagilevo wave.","01-Jun Dyagilevo appears only as later reconciliation expansion.","Provisional20 final decision EXCLUDE: attempted Spiderweb target with no confirmed hit.","Post-search reconciliation expansion; no additional Reuters-direct source component. Preserve row as Non-Candidate.",Non-Candidate,HIGH,DECIDABLE,CLOSED,"Distinct from the exact 06-Jun Dyagilevo ReutersHitID."
R25R-04,R25R_MAPPING,R25R-0066,Q4-R4,"Q4-R4 frozen search cell has 0 retained Reuters-direct components.","No Q4-R4 ReutersHitID exists.","Dzerzhinsk row appears in reconciliation despite zero retained source components in the cell.","Provisional20 final decision EXCLUDE with high contradiction; no industrial-facility damage confirmed.","Reconciliation-only screened-out item; preserve as Non-Candidate and do not allocate a Reuters source-component ID.",Non-Candidate,HIGH,DECIDABLE,CLOSED,"A 1:1 Reuters-direct mapping is formally impossible because the frozen source count is zero."
R25R-05,R25R_MAPPING,R25R-0094,Q4-R1,"Q4-R1 frozen count is 13; anchor covers Oct-Dec refinery/processing reporting.","No dedicated early ReutersHitID for the 25-Dec Orenburg repeat.","R25R-0094 is a distinct 25-Dec Orenburg candidate already present in reconciliation.","OPEN8 resolves CONFIRM; V4 register contains Orenburg 25-Dec as confirmed repeat. Q4-R1 also requires later correction for YANOS 12-Dec and contains several VIINA-overlap reconciliation additions, so the cell can be rebalanced without creating a 14th direct component.","Treat Orenburg gas processing plant 2025-12-25 as a Q4-R1 Reuters-direct 1:1 component, but stable cell ordinal cannot be recovered from frozen evidence.","1:1",MODERATE_HIGH,EVENT_DECIDABLE_ORDINAL_NOT_PROVEN,OPEN,"Event/source-lane membership is supported; exact R25S-Q4-R1-xx identity requires a full cell rebalance and is not preserved historically."
R25R-06,R25R_MAPPING,R25R-0100,Q3-R2,"Q3-R2 has exactly 3 direct components: Sochi, Ust-Luga and Primorsk according to the search-log anchor/count.","Sochi has exact raw-hit identity; Ust-Luga/Primorsk are recovered by reconciliation.","R25R-0100 is a 20-Sep Saratov-region oil-infrastructure follow-on and cannot be a fourth Q3-R2 direct component.","V1/V2 reconciliation notes treat it as follow-on coverage; no separate confirmed register event is created.","Follow-up to the 20-Sep Saratov refinery/oil-infrastructure reporting, canonical reconciliation anchor R25R-0055; no new source component.",Follow-up,HIGH,DECIDABLE,CLOSED,"The three-slot Q3-R2 inventory is already exactly occupied."
R25R-07,R25R_MAPPING,R25R-0101,Q3-R2,"Q3-R2 has exactly 3 direct components: Sochi, Ust-Luga and Primorsk.","No fourth Q3-R2 ReutersHitID exists.","R25R-0101 is 20-Sep Samara-region oil-infrastructure follow-on; R25R-0056/R25R-0098 later merge to the same Novokuibyshevsk event.","Provisional20 merges R25R-0056|R25R-0098 to one confirmed Novokuibyshevsk 20-Sep event.","Follow-up to canonical 20-Sep Samara/Novokuibyshevsk reconciliation event R25R-0056; no new source component.",Follow-up,HIGH,DECIDABLE,CLOSED,"The row is explanatory follow-on coverage, not a fourth Q3-R2 discovery component."
