CaseNo,ReutersReconID,CanonicalEventDate,TargetOrEvent,Decision,EvidenceStrength,TargetNodeResolution,DedupeDecision,VIINAOverlap,RegisterEffect,DecisionReason
11,R25R-0048,2025-08-30,Syzran oil refinery,HOLD_OPEN,MODERATE,NODE_RU_SYZRAN_REFINERY,UNIQUE_DISTINCT_WAVE,NONE_FOUND,HOLD_NO_INCREMENT,"A fresh attack wave is established and Ukraine reported a fire in the refinery area; the Samara governor confirmed an attack attempt on an industrial enterprise but did not independently identify refinery damage."
12,R25R-0053,2025-09-16,Novokuibyshevsk oil refinery,EXCLUDE,LOW,NODE_RU_NOVOKUIBYSHEVSK_REFINERY,DATE_EVENT_NOT_REPRODUCIBLE,NONE_FOUND,NO_INCREMENT,"No distinct 16 September Novokuibyshevsk physical event could be reproduced. Reuters later describes the relevant prior attack only as occurring the previous month; the target-resolved September event is handled under 20 September."
13,R25R-0056|R25R-0098,2025-09-20,Novokuibyshevsk oil refinery,CONFIRM,HIGH,NODE_RU_NOVOKUIBYSHEVSK_REFINERY,MERGE_DUPLICATE_RECON_ROWS,NONE_FOUND,ADD_CONFIRMED,"The two reconciliation rows describe one event. Ukrainian reporting identified Novokuibyshevsk; later Reuters industry sources stated primary processing had been suspended after drones attacked the plant the previous month, corroborating a September physical disruption."
14,R25R-0066,2025-10-06,Y.M. Sverdlov explosives plant Dzerzhinsk,EXCLUDE,HIGH_CONTRADICTION,NODE_RU_SVERDLOV_DZERZHINSK_EXPLOSIVES,ATTEMPT_NO_CONFIRMED_HIT,NONE_FOUND,NO_INCREMENT,"Ukraine claimed numerous explosions, but the regional governor reported no damage to industrial facilities. Under the strict physical-effect standard the target strike is not confirmed."
15,R25R-0076,2025-11-14,Saratov oil refinery,HOLD_OPEN,MODERATE,NODE_RU_SARATOV_REFINERY,UNIQUE_POSSIBLE_REPEAT,VIINA_HAS_2025-11-11_SAME_NODE,HOLD_NO_INCREMENT,"Reuters/Ukraine establish a fresh 14 November attack claim, but available effect reporting does not cleanly separate damage from the confirmed 11 November strike. Keep open to avoid double counting the same damage state."
16,R25R-0077,2025-11-14,Engels fuel storage facility,HOLD_OPEN,LOW_MODERATE,NODE_RU_ENGELS_FUEL_STORAGE,UNIQUE_DISTINCT_WAVE,NONE_FOUND,HOLD_NO_INCREMENT,"Reuters reported the Ukrainian claim, but no independent target-level physical effect for the Engels storage facility on 14 November was located."
17,R25R-0094,2025-12-25,Orenburg gas processing plant,HOLD_OPEN,LOW_MODERATE,NODE_RU_ORENBURG_GAS_PROCESSING,UNIQUE_DISTINCT_WAVE,NONE_FOUND,HOLD_NO_INCREMENT,"Reuters carried an SBU statement that the plant was hit; no independent physical-effect evidence was located for this 25 December repeat, distinct from the confirmed October attack."
18,R25R-0096,2025-09-05,Ryazan oil refinery,CONFIRM,HIGH,NODE_RU_RYAZAN_REFINERY,UNIQUE_DATE_CORRECTED,NONE_FOUND,ADD_CONFIRMED,"The V1 date 3 September was incorrect. The attack is reproducibly dated to 5 September; geolocated footage showed fire at refinery processing units and Reuters later described Ryazan as hit in early September."
19,R25R-0097,2025-09-13,Bashneft-Novoil refinery Ufa,CONFIRM,HIGH,NODE_RU_BASHNEFT_NOVOIL_REFINERY,UNIQUE_TARGET_RESOLVED,NONE_FOUND,ADD_CONFIRMED,"The Bashneft attack and fire are confirmed by the regional governor and Reuters. Contemporaneous geolocation/defence-intelligence reporting resolves the affected Ufa facility to Bashneft-Novoil."
20,R25R-0099,2025-08-28,Krasnodar-region refinery placeholder,EXCLUDE,HIGH,NODE_RU_AFIPSKY_REFINERY,DUPLICATE_MISRESOLVED,NONE_FOUND,NO_INCREMENT,"Target/date reconciliation resolves this placeholder to the already confirmed Afipsky refinery attack of 28 August; it is not an additional event."
