EventNo,CanonicalEventDate,Target,SearchFamily,Sector,ConfirmationBasis,RegisterEffect,ProvenanceStatus
17,2025-08-07,Afipsky oil refinery,R1_ENERGY_REFINING,REFINING_PETROCHEM_GAS,Reuters chronology records refinery fire from drone debris,ADD_CONFIRMED,V2_BASE
18,2025-08-13,Slavyansk oil refinery,R1_ENERGY_REFINING,REFINING_PETROCHEM_GAS,Reuters chronology records small fire from drone debris,ADD_CONFIRMED,V2_BASE
19,2025-08-14,Volgograd oil refinery,R1_ENERGY_REFINING,REFINING_PETROCHEM_GAS,Reuters industry reporting records refinery shutdown after attack,ADD_CONFIRMED,V2_BASE
20,2025-08-15,Syzran oil refinery,R1_ENERGY_REFINING,REFINING_PETROCHEM_GAS,Reuters industry reporting records production/crude-intake suspension,ADD_CONFIRMED,V2_BASE
21,2025-08-21,Novoshakhtinsk oil refinery,R1_ENERGY_REFINING,REFINING_PETROCHEM_GAS,Reuters identified the refinery and reported a sustained fire after Ukrainian drone strike,ADD_CONFIRMED,V2_BASE
22,2025-08-24,Ust-Luga processing/export terminal,R2_ENERGY_STORAGE_EXPORT,PORT_EXPORT_LOGISTICS,Reuters sources reported drone damage and operation at about half capacity,ADD_CONFIRMED,V2_BASE
23,2025-08-28,Afipsky oil refinery,R1_ENERGY_REFINING,REFINING_PETROCHEM_GAS,Reuters later reported refinery fire following Ukrainian drone attack,ADD_CONFIRMED,V2_BASE
24,2025-08-28,Kuibyshev refinery,R1_ENERGY_REFINING,REFINING_PETROCHEM_GAS,Reuters industry sources reported operations halted after attack,ADD_CONFIRMED,V2_BASE
25,2025-08-30,Krasnodar refinery,R1_ENERGY_REFINING,REFINING_PETROCHEM_GAS,Russian authorities reported unit damage and roughly 300-square-metre fire after drone attack,ADD_CONFIRMED,V2_BASE
26,2025-09-18,Salavat petrochemical/refinery complex,R1_ENERGY_REFINING,REFINING_PETROCHEM_GAS,Regional governor confirmed attack/fire; Reuters reported processing-unit damage,ADD_CONFIRMED,V2_BASE
27,2025-09-24,Salavat petrochemical/refinery complex,R1_ENERGY_REFINING,REFINING_PETROCHEM_GAS,Second distinct attack; regional reporting/Reuters documented renewed fire and damage assessment,ADD_CONFIRMED,V2_BASE
28,2025-10-04,Kirishi oil refinery,R1_ENERGY_REFINING,REFINING_PETROCHEM_GAS,Reuters industry reporting said CDU-6 halted after fire from fresh attack,ADD_CONFIRMED,V2_BASE
29,2025-10-19,Orenburg gas processing plant,R1_ENERGY_REFINING,REFINING_PETROCHEM_GAS,Governor reported partial damage/workshop fire; intake from Kazakhstan suspended,ADD_CONFIRMED,V2_BASE
30,2025-11-02,Tuapse port/oil-terminal infrastructure,R2_ENERGY_STORAGE_EXPORT,PORT_EXPORT_LOGISTICS,Reuters reported port infrastructure damage/fire and export suspension,ADD_CONFIRMED,V2_BASE
31,2025-11-14,Sheskharis oil terminal Novorossiysk,R2_ENERGY_STORAGE_EXPORT,PORT_EXPORT_LOGISTICS,Reuters sources reported two berths damaged and oil exports temporarily halted,ADD_CONFIRMED,V2_BASE
32,2025-11-15,Ryazan oil refinery,R1_ENERGY_REFINING,REFINING_PETROCHEM_GAS,Reuters industry reporting said processing/CDU operations suspended after fresh attack/fire,ADD_CONFIRMED,V2_BASE
33,2025-12-12,Slavneft-YANOS Yaroslavl refinery,R1_ENERGY_REFINING,REFINING_PETROCHEM_GAS,Reuters sources reported CDU-4/loading-rack damage and output suspension,ADD_CONFIRMED,V2_BASE
34,2025-12-17,Slavyansk oil refinery,R1_ENERGY_REFINING,REFINING_PETROCHEM_GAS,Regional authorities reported drone debris ignited processing equipment and pipeline,ADD_CONFIRMED,V2_BASE
35,2025-01-29,23rd GRAU missile arsenal Tver Oblast,R4_DEFENSE_INDUSTRY,MILITARY_MUNITIONS_STORAGE,Independent reporting documented damage to arsenal/military-unit buildings,ADD_CONFIRMED,PROVISIONAL20_RESOLVED
36,2025-05-28,Kronstadt UAV plant Dubna,R4_DEFENSE_INDUSTRY,DEFENSE_INDUSTRY,Independent geolocation and satellite evidence supported physical damage,ADD_CONFIRMED,PROVISIONAL20_RESOLVED
37,2025-06-06,Engels fuel-storage/oil-depot node,R2_ENERGY_STORAGE_EXPORT,FUEL_STORAGE_TERMINAL,Regional fire reporting and later satellite imagery showed destroyed or critically damaged fuel reservoirs,ADD_CONFIRMED,PROVISIONAL20_RESOLVED
38,2025-09-20,Novokuibyshevsk oil refinery,R1_ENERGY_REFINING,REFINING_PETROCHEM_GAS,Duplicate reconciliation rows merged; later Reuters industry reporting corroborated September physical disruption,ADD_CONFIRMED,PROVISIONAL20_RESOLVED
39,2025-09-05,Ryazan oil refinery,R1_ENERGY_REFINING,REFINING_PETROCHEM_GAS,Date corrected from V1; geolocated fire footage and Reuters retrospective support physical effect,ADD_CONFIRMED,PROVISIONAL20_RESOLVED
40,2025-09-13,Bashneft-Novoil refinery Ufa,R1_ENERGY_REFINING,REFINING_PETROCHEM_GAS,Regional governor/Reuters fire reporting plus target geolocation resolved exact facility,ADD_CONFIRMED,PROVISIONAL20_RESOLVED
41,2025-05-28,Raduga cruise-missile plant Dubna,R4_DEFENSE_INDUSTRY,DEFENSE_INDUSTRY,Independent OSINT geolocation supported physical hit at resolved Raduga node,ADD_CONFIRMED,OPEN8_RESOLVED
42,2025-11-14,Saratov oil refinery,R1_ENERGY_REFINING,REFINING_PETROCHEM_GAS,Reuters industry sources reported fresh repeat and storage-tank fire; video/FIRMS supported new physical effect,ADD_CONFIRMED,OPEN8_RESOLVED
43,2025-12-25,Orenburg gas processing plant,R1_ENERGY_REFINING,REFINING_PETROCHEM_GAS,Independent fire-detection/process-suspension evidence resolved fresh repeat physical effect,ADD_CONFIRMED,OPEN8_RESOLVED
44,2025-01-29,Andreapol oil pumping station,R3_PIPELINE_PUMPING,PIPELINE_PUMPING,Transneft-source acknowledgment of limited damage plus Reuters fire/leak reporting,ADD_CONFIRMED,FINAL9_RESOLVED
45,2025-02-03,Volgograd oil refinery,R1_ENERGY_REFINING,REFINING_PETROCHEM_GAS,Volgograd governor confirmed refinery fires caused by falling drone debris,ADD_CONFIRMED,FINAL9_RESOLVED
46,2025-05-05,Rylsk electricity substation,R6_GRID_SUPPORT,ENERGY_GRID_SUPPORT,Kursk governor confirmed substation strike two damaged transformers and power outage,ADD_CONFIRMED,FINAL9_RESOLVED
47,2025-09-26,Afipsky oil refinery,R1_ENERGY_REFINING,REFINING_PETROCHEM_GAS,Regional authorities confirmed refinery-unit fire from drone debris and industry source confirmed primary-unit shutdown,ADD_CONFIRMED,FINAL9_RESOLVED
