EventNo,CanonicalEventDate,Target,SearchFamily,Sector,ConfirmationBasis,RegisterEffect
18,2025-08-13,Slavyansk oil refinery,R1_ENERGY_REFINING,REFINING_PETROCHEM_GAS,Reuters chronology records small fire from drone debris,ADD_CONFIRMED
19,2025-08-14,Volgograd oil refinery,R1_ENERGY_REFINING,REFINING_PETROCHEM_GAS,Reuters industry reporting records refinery shutdown after attack,ADD_CONFIRMED
20,2025-08-15,Syzran oil refinery,R1_ENERGY_REFINING,REFINING_PETROCHEM_GAS,Reuters industry reporting records production/crude-intake suspension,ADD_CONFIRMED
21,2025-08-21,Novoshakhtinsk oil refinery,R1_ENERGY_REFINING,REFINING_PETROCHEM_GAS,Reuters identified the refinery and reported a sustained fire after Ukrainian drone strike,ADD_CONFIRMED
22,2025-08-24,Ust-Luga processing/export terminal,R2_ENERGY_STORAGE_EXPORT,PORT_EXPORT_LOGISTICS,Reuters sources reported drone damage and operation at about half capacity,ADD_CONFIRMED
23,2025-08-28,Afipsky oil refinery,R1_ENERGY_REFINING,REFINING_PETROCHEM_GAS,Reuters later reported refinery fire following Ukrainian drone attack,ADD_CONFIRMED
24,2025-08-28,Kuibyshev refinery,R1_ENERGY_REFINING,REFINING_PETROCHEM_GAS,Reuters industry sources reported operations halted after attack,ADD_CONFIRMED
25,2025-08-30,Krasnodar refinery,R1_ENERGY_REFINING,REFINING_PETROCHEM_GAS,Russian authorities reported unit damage and roughly 300-square-metre fire after drone attack,ADD_CONFIRMED
26,2025-09-18,Salavat petrochemical/refinery complex,R1_ENERGY_REFINING,REFINING_PETROCHEM_GAS,Regional governor confirmed attack/fire; Reuters reported processing-unit damage,ADD_CONFIRMED
27,2025-09-24,Salavat petrochemical/refinery complex,R1_ENERGY_REFINING,REFINING_PETROCHEM_GAS,Second distinct attack; regional reporting/Reuters documented renewed fire and damage assessment,ADD_CONFIRMED
28,2025-10-04,Kirishi oil refinery,R1_ENERGY_REFINING,REFINING_PETROCHEM_GAS,Reuters industry reporting said CDU-6 halted after fire from fresh attack,ADD_CONFIRMED
29,2025-10-19,Orenburg gas processing plant,R1_ENERGY_REFINING,REFINING_PETROCHEM_GAS,Governor reported partial damage/workshop fire; intake from Kazakhstan suspended,ADD_CONFIRMED
30,2025-11-02,Tuapse port/oil-terminal infrastructure,R2_ENERGY_STORAGE_EXPORT,PORT_EXPORT_LOGISTICS,Reuters reported port infrastructure damage/fire and export suspension,ADD_CONFIRMED
31,2025-11-14,Sheskharis oil terminal Novorossiysk,R2_ENERGY_STORAGE_EXPORT,PORT_EXPORT_LOGISTICS,Reuters sources reported two berths damaged and oil exports temporarily halted,ADD_CONFIRMED
32,2025-11-15,Ryazan oil refinery,R1_ENERGY_REFINING,REFINING_PETROCHEM_GAS,Reuters industry reporting said processing/CDU operations suspended after fresh attack/fire,ADD_CONFIRMED
33,2025-12-12,Slavneft-YANOS Yaroslavl refinery,R1_ENERGY_REFINING,REFINING_PETROCHEM_GAS,Reuters sources reported CDU-4/loading-rack damage and output suspension,ADD_CONFIRMED
34,2025-12-17,Slavyansk oil refinery,R1_ENERGY_REFINING,REFINING_PETROCHEM_GAS,Regional authorities reported drone debris ignited processing equipment and pipeline,ADD_CONFIRMED
