ReutersReconID,CanonicalEventDate,TargetOrEvent,SearchFamily,ReconciliationStatus,EvidenceNote,CountryScope,RegisterEffect
R25R-0085,2025-11-29,Afipsky oil refinery,R1,NEW_CONFIRMED,Regional authorities and Reuters reported fire/equipment damage,RUSSIA_PROPER,ADD_CONFIRMED
R25R-0086,2025-11-29,CPC Black Sea terminal SPM-2,R2,NEW_CONFIRMED,SPM-2 severely damaged and unusable; loading stopped,RUSSIA_PROPER,ADD_CONFIRMED
R25R-0087,2025-11-30,Slavyansk-EKO refinery,R1,NEW_PROVISIONAL,VIINA contains this event; Reuters direct target-level confirmation not found in completed search,RUSSIA_PROPER,HOLD_PROVISIONAL
R25R-0088,2025-11-30,Gukovo district heating boiler,R6,NEW_PROVISIONAL,VIINA contains this component; Reuters direct target-level confirmation not found,RUSSIA_PROPER,HOLD_PROVISIONAL
R25R-0089,2025-11-30,Unidentified industrial enterprise Novoshakhtinsk,R7,NEW_UNRESOLVED,Same unresolved VIINA residual; no Reuters facility identification found,RUSSIA_PROPER,HOLD_UNRESOLVED
R25R-0090,2025-12-04,Druzhba pumping infrastructure Tambov region,R3,NEW_CONFIRMED,Reuters reported fifth 2025 attack on Druzhba infrastructure; target node distinct from earlier dated events unless later reconciled otherwise,RUSSIA_PROPER,ADD_CONFIRMED
R25R-0091,2025-12-17,Slavyansk oil refinery,R1,NEW_CONFIRMED,Fresh refinery attack reported with physical effect,RUSSIA_PROPER,ADD_CONFIRMED
R25R-0092,2025-12-25,Novoshakhtinsk oil refinery,R1,NEW_CONFIRMED,Fresh refinery strike and fire reported,RUSSIA_PROPER,ADD_CONFIRMED
R25R-0093,2025-12-25,Temryuk port oil-storage terminal,R2,NEW_CONFIRMED,Fire at oil tanks/terminal after drone attack,RUSSIA_PROPER,ADD_CONFIRMED
R25R-0094,2025-12-25,Orenburg gas processing plant,R1,NEW_PROVISIONAL,Ukrainian strike claim reported; target-level physical effect confirmation incomplete,RUSSIA_PROPER,HOLD_PROVISIONAL
R25R-0095,2025-10-24,Belgorod reservoir dam,R7,NEW_CONFIRMED_NEEDS_ELIGIBILITY,Physical damage to dam reported after Ukrainian strike; DEEP target-universe eligibility requires decision,RUSSIA_PROPER,ADD_CONFIRMED_PENDING_SCOPE
R25R-0096,2025-09-03,Ryazan oil refinery,R1,NEW_PROVISIONAL,Fresh attack candidate from Reuters search; effect/date resolution incomplete,RUSSIA_PROPER,HOLD_PROVISIONAL
R25R-0097,2025-09-13,Ufa/Bashneft refinery complex,R1,NEW_PROVISIONAL,Attack reported but unique facility/effect not sufficiently resolved,RUSSIA_PROPER,HOLD_PROVISIONAL
R25R-0098,2025-09-20,Samara-region refinery,R1,NEW_UNRESOLVED,Reuters reports refinery strike but target identity within Samara group unresolved,RUSSIA_PROPER,HOLD_UNRESOLVED
R25R-0099,2025-08-28,Krasnodar-region refinery target,R1,NEW_UNRESOLVED,Search result points to refinery event but exact facility/effect unresolved,RUSSIA_PROPER,HOLD_UNRESOLVED
R25R-0100,2025-09-20,Saratov-region oil infrastructure,R2,NEW_PROVISIONAL,Follow-on Reuters coverage references energy target; exact node not sufficiently resolved,RUSSIA_PROPER,HOLD_PROVISIONAL
R25R-0101,2025-09-20,Samara-region oil infrastructure,R2,NEW_PROVISIONAL,Follow-on Reuters coverage references energy target; exact node not sufficiently resolved,RUSSIA_PROPER,HOLD_PROVISIONAL
