SourceEventID,VIINADate,Priority,ManualDecision,ResolvedYear,CountryScope,TargetOrEvent,CarryForwardYear,CarryForwardPotentialRussiaProper,DecisionReason,CandidateCensusComplete
342494,20220224,M1,EXCLUDE_NOT_RUSSIA_PROPER_EVENT,2022,UKRAINE_OTHER,Russian MoD aggregate destruction claims in Ukraine,,,Aggregate Russian claims about Ukrainian military losses; no Ukrainian physical strike in Russia proper,FALSE
65163,20220224,M1,EXCLUDE_RUSSIAN_ATTACK_ON_UKRAINE,2022,UKRAINE_OTHER,Russian invasion briefing / Ukrainian targets,,,No Russia-proper physical target,FALSE
145205,20220225,M1,EXCLUDE_RUSSIAN_ATTACK_ON_UKRAINE,2022,UKRAINE_OTHER,Hostomel airfield follow-up,,,Russian MoD claim concerning Hostomel Kyiv Oblast,FALSE
342498,20220225,M1,EXCLUDE_NOT_RUSSIA_PROPER_EVENT,2022,UKRAINE_OTHER,Russian MoD aggregate destruction claims in Ukraine,,,No Ukrainian strike in Russia proper,FALSE
145301,20220226,M1,EXCLUDE_RUSSIAN_ATTACK_ON_UKRAINE,2022,UKRAINE_OTHER,Vasylkiv oil depot and airfield,,,Russian missile attacks on targets near Kyiv,FALSE
32209,20220226,M1,EXCLUDE_RUSSIAN_ATTACK_ON_UKRAINE,2022,UKRAINE_OTHER,Vasylkiv oil depot and airfield,,,Physical targets in Kyiv Oblast Ukraine,FALSE
145724,20220303,M1,EXCLUDE_OUTSIDE_RUSSIA_PROPER_FOLLOWUP,2022,UKRAINE_OTHER,Hostomel / An-225 aftermath,,,Follow-up to fighting at Hostomel in Ukraine; no Russia-proper target,FALSE
29408,20220305,M1,EXCLUDE_RUSSIAN_ATTACK_ON_UKRAINE,2022,UKRAINE_OTHER,Vinnytsia airfield,,,Russian missile strike on Vinnytsia Ukraine,FALSE
65918,20220505,M1,EXCLUDE_RUSSIAN_ATTACK_ON_UKRAINE,2022,UKRAINE_OTHER,Energomashspetsstal Kramatorsk,,,Physical target Kramatorsk Donetsk Oblast; Russian strike,FALSE
336556,20220520,M1,EXCLUDE_NOT_EVENT,2022,UKRAINE_OCCUPIED_OTHER,Azovstal POW visit/report,,,No fresh physical attack described,FALSE
192361,20220610,M1,EXCLUDE_RUSSIAN_ATTACK_ON_UKRAINE,2022,UKRAINE_OTHER,Martynivske/Voznesensk airfield,,,Text explicitly describes Russian strike on Ukrainian Su-25/airfield,FALSE
342727,20220624,M1,EXCLUDE_RUSSIAN_ATTACK_ON_UKRAINE,2022,UKRAINE_OTHER,Mykolaiv ammunition position,,,Text explicitly describes Russian artillery destroying Ukrainian position,FALSE
144069,20220722,M1,EXCLUDE_RUSSIAN_ATTACK_ON_UKRAINE,2022,UKRAINE_OCCUPIED_OTHER,Lysychansk refinery area,,,Report describes Ukrainian forces repelling Russian attacks from refinery area; no strike in Russia proper,FALSE
67512,20220825,M1,EXCLUDE_RUSSIAN_OR_PROXY_ATTACK_ON_UKRAINE,2022,UKRAINE_OCCUPIED_OTHER,Pervomaiske ammunition depot/fortification,,,Claim concerns DNR forces destroying Ukrainian targets in Donetsk Oblast,FALSE
259599,20220828,M1,EXCLUDE_OUTSIDE_RUSSIA_PROPER,2022,UKRAINE_OCCUPIED_OTHER,Kherson command posts/ammunition depots,,,Targets explicitly Kherson Oblast,FALSE
73087,20220917,M1,EXCLUDE_OUTSIDE_RUSSIA_PROPER,2022,UKRAINE_OCCUPIED_OTHER,Rubtsi ammunition depot/equipment,,,Target explicitly Donetsk Oblast Ukraine,FALSE
228256,20221031,M1,EXCLUDE_OUTSIDE_RUSSIA_PROPER,2022,UKRAINE_OCCUPIED_OTHER,Velyka Novosilka area ammunition depot/EW,,,Target explicitly Donetsk Oblast Ukraine,FALSE
331048,20221118,M1,EXCLUDE_OUTSIDE_RUSSIA_PROPER,2022,UKRAINE_OCCUPIED_OTHER,Chapaievka Luhansk substation,,,Target explicitly Luhansk Oblast Ukraine,FALSE
153152,20221124,M1,EXCLUDE_RUSSIAN_ATTACK_ON_UKRAINE,2022,UKRAINE_OTHER,Kyiv/Ukraine energy infrastructure,,,Article describes Russian mass strikes on Ukrainian energy targets,FALSE
36851,20221214,M1,EXCLUDE_RUSSIAN_ATTACK_ON_UKRAINE,2022,UKRAINE_OCCUPIED_OTHER,Torske ammunition depot,,,Text describes destruction of Ukrainian depot in Donetsk Oblast,FALSE
